segment_variable,segment,customers,positives,positive_rate,selected_customers,selected_positives,selection_rate,selected_precision
age_bucket,18-29,1003,179,0.17846460618145563,417,126,0.41575274177467597,0.302158273381295
age_bucket,30-39,3608,379,0.10504434589800443,682,182,0.18902439024390244,0.2668621700879765
age_bucket,40-49,2332,209,0.08962264150943396,247,68,0.10591766723842196,0.27530364372469635
age_bucket,50-59,1763,179,0.10153148043108338,203,61,0.11514463981849121,0.30049261083743845
age_bucket,60+,337,112,0.3323442136498516,260,105,0.771513353115727,0.40384615384615385
